Nº Pedido,Cód. Cliente,Nome Cliente,Grupo Cliente,Região,Endereço Completo,Qtde. dos Itens,Peso dos Itens,Latitude,Longitude,Janela de Descarga,Anomalia
3727834,3685,AVÍCOLA BELA VISTA LTDA,Nenhum,Guarulhos,"Rua HUMBERTO BROCHINI, 155, Jardim Bela Vista, Guarulhos",7,140,-23.437833,-46.5106224,30,false
3727948,181657,VILA ZAIRA HORTIFRUTI LTDA,Rede Sitio Verde,Guarulhos,"Avenida ONZE DE AGOSTO, 256, Jd. Zaira, Guarulhos",6,115,-23.46278,-46.53333,30,false
3727952,3685,AVÍCOLA BELA VISTA LTDA,Nenhum,Guarulhos,"Rua HUMBERTO BROCHINI, 155, Jardim Bela Vista, Guarulhos",7,140,-23.437833,-46.5106224,30,false
3728327,205533,COMERCIAL BENZ EIRELI,Nenhum,Ibiúna,"Avenida NOSSA SENHORA DO CARMO, 2058, Carmo Messias, Ibiúna",12,240,-23.7537174,-47.0606118,30,false
3727992,13376,VIEIRA E LARA SUPERMERCADO LTDA,Nenhum,Iguape,"Avenida CAPITÃO JULIO FRANCO, 390, Rocio, Iguape",53,1045,-24.70806,-47.55528,30,false
3728443,214589,KALIMERA COMERCIO DE HORTIFRUTI LTDA,Monte Serrat,Indaiatuba,"Avenida PRESIDENTE VARGAS, 671, VILA VITORIA II, Indaiatuba",8,150,-23.08842,-47.2119,30,false
3728071,209491,DISTRIBUIÇÃO UNION SA,Coopideal,Indaiatuba,"Rua ANTONIO ANGELINO ROSSI, 781, Jardim Morada do Sol, Indaiatuba",108,2145,-23.1255744,-47.2383474,30,false
3727997,202957,AÇOUGUE NOVA VIDA INDAIA LTDA,Nenhum,Indaiatuba,"Rua SERAPHIN GILBERTO CANDELLO, 1519, JD SAO CONRADO, Indaiatuba",8,155,-23.08842,-47.2119,30,false
3727770,177692,CARLOS EDUARDO KIRSTEN SANCHES - ME,Nenhum,Itanhaém,"Rua JOAO MARIANO FERREIRA, 164, Centro, Itanhaém",16,320,-24.18306,-46.78889,30,false
3728026,210159,PRATICO SUPERMERCADO LTDA,Nenhum,Itanhaém,"Avenida RUI BARBOSA, 420, Centro, Itanhaém",13,260,-24.18306,-46.78889,30,false
3728099,3713,SUPERMERCADO BANDEIRA LTDA,Bandeira,Itapecerica da Serra,"Praça DA BANDEIRA, 17 A, Centro, Itapecerica da Serra",21,400,-23.71694,-46.84917,30,false
3728128,203447,R.S.BUENO & CIA LTDA,Nenhum,Itapetininga,"Avenida WENCESLAU BRAZ, 640, VILA POPULAR, Itapetininga",20,400,-23.563419,-48.0152876,30,false
3728129,203393,R S BUENO & CIA LTDA,Nenhum,Itapetininga,"Rua ARY DE ALMEIDA, 71, CAMBUI, Itapetininga",30,595,-23.59167,-48.05306,30,false
3728353,203411,COFESA - COMERCIAL FERREIRA SANTOS LTDA,Cofesa,Itapetininga,"Avenida PEIXOTO GOMIDE, 395, Centro, Itapetininga",5,100,-23.5854455,-48.0491309,30,false
3727732,8796,JOÃO DE OLIVEIRA AÇOUGUE ITAPEVI-ME,Nenhum,Itapevi,"Rua Pedro Paulino, 28, Jardim Paulista, Itapevi",14,280,-23.54889,-46.93417,30,false
3727906,178184,N.S. LAR SUPERMERCADO LTDA.,Nenhum,Itapevi,"Avenida DOS SUL AMERICANOS, 57, Parque Suburbano, Itapevi",15,300,-23.54889,-46.93417,30,false
3728146,191924,W BOI - COMERCIO DE CARNES LTDA,Nenhum,Itapevi,"Avenida RUBENS CARAMEZ, 400, VILA AURORA, Itapevi",16,320,-23.5490681,-46.9371725,30,false
3727205,206875,CASA SP2 COMERCIO DE ALIMENTOS LTDA,Nenhum,Itapevi,"Rua HELOIZA HIDEKO KOBA, 628, Jardim Nova Itapevi, Itapevi",15,300,-23.54889,-46.93417,30,false
3727206,206875,CASA SP2 COMERCIO DE ALIMENTOS LTDA,Nenhum,Itapevi,"Rua HELOIZA HIDEKO KOBA, 628, Jardim Nova Itapevi, Itapevi",15,300,-23.54889,-46.93417,30,false
3726134,13733,CARREFOUR COMERCIO E INDUSTRIA LTDA,Carrefour,Itapevi,"Rodovia PRESIDENTE CASTELO BRANCO KM 33, SN, Itaqui, Itapevi",90,1800,-23.54889,-46.93417,30,false
3726125,13733,CARREFOUR COMERCIO E INDUSTRIA LTDA,Carrefour,Itapevi,"Rodovia PRESIDENTE CASTELO BRANCO KM 33, SN, Itaqui, Itapevi",765,15300,-23.54889,-46.93417,30,false
3726108,13733,CARREFOUR COMERCIO E INDUSTRIA LTDA,Carrefour,Itapevi,"Rodovia PRESIDENTE CASTELO BRANCO KM 33, SN, Itaqui, Itapevi",65,975,-23.54889,-46.93417,30,false
3728066,197502,BG NORTE ALIMENTOS LTDA,Nenhum,Itaquaquecetuba,"Rodovia AYRTON SENNA DA SILVA, SN, JARDIM MARIA ELIZA, Itaquaquecetuba",6,120,-23.48611,-46.34833,30,false
3728437,206456,ACOUGUE MUNDO DAS CARNES LTDA,Nenhum,Itaquaquecetuba,"Rua ROQUE BARBOSA DE MIRANDA, 112, JARDIM DOS IPES, Itaquaquecetuba",10,200,-23.48611,-46.34833,30,false
3728381,203161,CENTRAL DE CARNES NOVA ITAQUA LTDA,Rede Nobreza,Itaquaquecetuba,"Estrada PEDRO DA CUNHA ALBUQUERQUE LOPES, 2020, Perobal, Itaquaquecetuba",5,100,-23.4254939,-46.3358918,30,false
3728100,10855,ERENITO COMERCIO DE PASTEL LTDA,Nenhum,Itaquaquecetuba,"Rua CANA VERDE, 110, JARDIM SILVESTRE, Itaquaquecetuba",35,700,-23.48611,-46.34833,30,false
3727882,204885,MIX VALI COM. DE PRODUTOS ALIMENTICIOS L,ASP,Itatiba,"Rua IOLANDA LATORRE CASCALDI, 40, LOTEAMENTO PARQUE DOS CANARIOS, Itatiba",40,780,-23.00583,-46.83889,30,false
3728086,214132,LIMITE COMERCIO VAREJISTA LTDA,Coopideal,Itu,"Praça DOM PEDRO I, 136, Centro, Itu",21,420,-23.26063,-47.3029264,30,false
3727652,10485,MARIA DE MELO PESTILHO ME,Nenhum,Itu,"Rua Paulo Eduardo Xavier de Toledo, 510, São Luiz, Itu",5,100,-23.2694013,-47.278959,30,false
3728007,9522,JORGE NILSON SCHEMER ME,Nenhum,Itu,"Rua Andradina, 178, Cidade Nova I, Itu",7,140,-23.26417,-47.29917,30,false
3727653,8166,COMERCIAL PERES DE ALIMENTOS LTDA ME,Nenhum,Itu,"Rodovia Marechal Rondon Km 104,5, S/N, Jardim Paraiso, Itu",5,100,-23.26417,-47.29917,30,false
3727574,207859,RED FOODS LTDA,Nenhum,Itu,"Rua PROFESSORA RUTH AMORIM ALVES, 270, Parque das Rosas, Itu",12,230,-23.26417,-47.29917,30,false
3728131,10478,SUPERMERCADO ALVORADA DE ITU LTDA,Alvorada,Itu,"Rua ADELIO PAZINATTO, 251, JARDIM AEROPORTO I, Itu",13,255,-23.26417,-47.29917,30,false
3728074,3767,COML.PADRE BENTO SECOS E MOLHADOS LTDA,Nenhum,Itu,"Rua DOUTOR SILVA CASTRO, 78, Vila Nova, Itu",9,180,-23.2722159,-47.2915065,30,false
3728141,191282,L.F.DUARTE & CIA LTDA - ME,Nenhum,Itu,"Rua HAMLETO MENQUINI, 41, PARQUE RES.POTIGUARA, Itu",5,100,-23.26417,-47.29917,30,false
3727642,7702,CASA DE CARNES DO NELO LTDA,Nenhum,Itu,"Rua A.ESQUINA COM AL.ALICE, 127, Jardim Convenção, Itu",14,262,-23.26417,-47.29917,30,false
3727674,2167,CLEONICE APARECIDA MARTINS DO CARMO - ME,Nenhum,Itu,"Rua JOAO JANUARIO PAMPLONA, 154, Jardim Santa Tereza, Itu",5,100,-23.2651732,-47.3078431,30,false
3728431,3416,ZEUS BAR E RESTAURANTE LTDA LTDA,Nenhum,Itu,"Avenida DOUTOR ERMILINDO MAFFEI, 1199, SAO LUIZ, Itu",3,60,-23.26417,-47.29917,30,false
3727844,192848,SCHNEIDER & COINASKI LTDA - ME,Nenhum,Itu,"Avenida DR. ERMELINDO MAFFEI, 734, SAO LUIZ, Itu",9,170,-23.2661032,-47.2798446,30,false
3728126,1083,CASA DE CARNES INFANTE LTDA - EPP,Nenhum,Itu,"Rua Professor Acacio de Vasconcelos de Camar, 481, Sao Luis, Itu",7,140,-2.52972,-44.30278,30,false
3727713,1211,J.C.A. MENDES E CIA LTDA - ME,Nenhum,Itu,"Praça DA INDEPENDENCIA, 31, Centro, Itu",3,60,-23.2646325,-47.2972233,30,false
3728420,7702,CASA DE CARNES DO NELO LTDA,Nenhum,Itu,"Rua A.ESQUINA COM AL.ALICE, 127, Jardim Convenção, Itu",13,260,-23.26417,-47.29917,30,false
3727578,5318,LANCHONETE TONILU LTDA EPP,Nenhum,Itu,"Rua 7 de Setembro, 49, Centro, Itu",10,200,-23.261568,-47.296937,30,false
3727723,208053,RESTAURANTE LUI E VENTURINE LTDA,Nenhum,Itu,"Rua MARCIA PIERRONI, 78, ITU NOVO CENTRO, Itu",6,120,-23.26417,-47.29917,30,false
3727710,211173,ACOUGUE CEARA CORTES LTDA,Nenhum,Itu,"Rua DOUTOR EUGENIO DA FONSECA, 383, JARDIM AEROPORTO I, Itu",6,110,-23.26417,-47.29917,30,false
3728433,12942,ANAS FERIOZZI RESTAURANTE LTDA,Nenhum,Itu,"Avenida DOUTOR ERMELINDO MAFFEI, 1199, SAO LUIZ, Itu",3,60,-23.2661032,-47.2798446,30,false
3727998,203135,S.G. LIETE COMERCIO DE ALIMENTOS EIRELI,Nenhum,Itu,"Rua CAMPINAS, 77, Cidade Nova I, Itu",20,400,-23.26417,-47.29917,30,false
3728221,213091,MERCADO UNIAO DE ITUPEVA LTDA,Nenhum,Itupeva,"Rua SANTA CLARA, 175, Residencial Santo Antonio, Itupeva",3,60,-23.1624922,-47.0454896,30,false
3727883,203961,MERCADO SANTA ELIZA LTDA,Nenhum,Itupeva,"Rodovia MARIO TONOLI, 177, EST.HIDRO MINERAL SANTA ELIZA, Itupeva",12,240,-23.15306,-47.05778,30,false
3728434,12905,SUP. E RESTAURANTE JVA EIRELLI,Monte Serrat,Itupeva,"Rua JOÃO SABIO GONÇALVES, 132, Jardim Ana Luiza, Itupeva",7,125,-23.1582683,-47.0422031,30,false
3728436,189093,SUPERMERCADO E RESTAURANTE JVA EIRELI,Monte Serrat,Itupeva,"Rua VICENTE TONOLLI, 114, Monte Serrat, Itupeva",4,80,-23.15306,-47.05778,30,false
3728216,196663,MERCADO UNIÃO DE ITUPEVA LTDA,Nenhum,Itupeva,"Rua ALFREDO CARLOS SAO JOSE, 47, JD EUROPA, Itupeva",12,240,-23.15306,-47.05778,30,false
3728217,193246,MINIMERCADO J & J ITUPEVA EIRELI - ME,Nenhum,Itupeva,"Rua MERDADO ZACHI, 44, VILA SAO JOAO, Itupeva",7,135,-23.1500301,-47.051379,30,false
3728218,205561,MERCADO UNIAO DE ITUPEVA LTDA,Nenhum,Itupeva,"Rua ALEXANDRINA MATHIAS DE OLIVEIRA, 77, PARQUE DAS HORTENSIAS, Itupeva",10,200,-23.15306,-47.05778,30,false
3728432,10162,SUP. E RESTAURANTE JVA EIRELI,Monte Serrat,Itupeva,"Praça SÃO PAULO, 97, Centro, Itupeva",17,325,-23.1521891,-47.0570231,30,false
3728041,204939,COOPERATIVA DE CONSUMO COOPERCICA,Coopercica,Itupeva,"Avenida JOSE TONOLI, 336, Centro, Itupeva",30,600,-23.15306,-47.05778,30,false
3728054,203367,JARDIM SATELITE HORTIFRUTI LTDA,Rede Sitio Verde,Jacareí,"Avenida DAS LETRAS, 659, LOT. VILLA BRANCA, Jacareí",2,40,-23.30528,-45.96583,30,false
3728053,203367,JARDIM SATELITE HORTIFRUTI LTDA,Rede Sitio Verde,Jacareí,"Avenida DAS LETRAS, 659, LOT. VILLA BRANCA, Jacareí",2,40,-23.30528,-45.96583,30,false
3728052,203367,JARDIM SATELITE HORTIFRUTI LTDA,Rede Sitio Verde,Jacareí,"Avenida DAS LETRAS, 659, LOT. VILLA BRANCA, Jacareí",2,40,-23.30528,-45.96583,30,false
3727724,207498,MIX VALI COM.DE PRODUTOS ALIMENTICIOS LT,ASP,Jaguariúna,"Rua THOMAZ JASSO, 480, JD.DONA IRMA, Jaguariúna",32,625,-22.70556,-46.98583,30,false
3728059,205453,M.P. CASA DE CARNES LTDA,Nenhum,Jaguariúna,"Avenida RINALDI, 549, JD SYLVIO RINALDI I, Jaguariúna",10,171,-22.70556,-46.98583,30,false
3727870,207499,MIX VALI COM.DE PRODUTOS ALIMENTICIOS LT,ASP,Jaguariúna,"Avenida RINALDI, 1100, RES.CORACAO DE JESUS, Jaguariúna",30,585,-22.70556,-46.98583,30,false
3727939,211575,"M J F COM DE BEBIDAS, ACOUGUE, ROT, MINI",Nenhum,Jandira,"Rua PRESIDENTE CASTELO BRANCO, 174, Jardim Sorocabano, Jandira",15,295,-23.5359134,-46.9038554,30,false
3728215,202609,SUPERMERCADO CATROQUE LTDA,Nenhum,Jarinu,"Estrada MUNICIPAL ATILIO SQUIZATO, 2809, MARACANA, Jarinu",11,210,-23.1512562,-46.698588,30,false
3728223,196179,CATROQUE MERCADINHO LTDA,Nenhum,Jarinu,"Rua MILTON VIANA, 625, JARDIM PRIMAVERA, Jarinu",6,115,-23.10139,-46.72833,30,false
3728224,13310,EMPORIO CATROQUE LTDA,Nenhum,Jarinu,"Avenida ANGELO BERNUCCI, 157, Alambique, Jarinu",7,130,-23.10139,-46.72833,30,false
3728225,13309,SUPERMERCADO CATROQUE LTDA.,Arcos,Jarinu,"Rua GOAR LORENCINI, 45, Centro, Jarinu",19,370,-23.1052822,-46.724516,30,false
3728139,194545,RODOSNACK MIRANTE LANCH.RESTAURANTE LTDA,Nenhum,Jarinu,"Rodovia DOM PEDRO I - SP 065, S/N, Centro, Jarinu",18,360,-23.10139,-46.72833,30,false
3727944,196617,IRMÃOS BOA LTDA,Irmãos Boa,Jundiaí,"Rua RETIRO, DO, 925, VILA VIRGINIA, Jundiaí",7,130,-23.1865399,-46.8985646,30,false
3727923,187254,IRMÃOS BOA  LTDA,Irmãos Boa,Jundiaí,"Rua BOM JESUS DE PIRAPORA, 2881, Vila Rami, Jundiaí",20,390,-23.2200889,-46.8790223,30,false
3728036,1038,COOPERATIVA DE  CONSUMO COOPERCICA,Coopercica,Jundiaí,"Avenida ANTÔNIO FREDERICO OZANAN, 6001, Vila Rio Branco, Jundiaí",27,530,-23.172492,-46.8916714,30,false
3728039,185619,COOPERATIVA DE CONSUMO COOPERCICA,Coopercica,Jundiaí,"Avenida HUMBERTO CERESER, 3.805, Jardim Caxambu, Jundiaí",19,345,-23.1529026,-46.8551222,30,false
3728056,1037,COOPERATIVA CONSUMO COOPERCICA,Coopercica,Jundiaí,"Rua JOAO FERRARA, 233, Jd. Cica, Jundiaí",100,1975,-23.18639,-46.88417,30,false
3727851,215180,SUA COXINHA FABRICA LTDA,Nenhum,Jundiaí,"Avenida SAMUEL MARTINS, 2423, Jardim do Lago, Jundiaí",4,80,-23.2023916,-46.8741897,30,false
3727947,214606,IRMÃOS BOA LTDA,Irmãos Boa,Jundiaí,"Rodovia VEREADOR GERALDO DIAS, S/N, PARQUE CENTENARIO, Jundiaí",15,290,-23.1372014,-46.9204443,30,false
3727904,6836,IRMÃOS BOA  LTDA,Irmãos Boa,Jundiaí,"Avenida Dos Imigrantes Italianos, 1973, Colonia, Jundiaí",53,1050,-23.1882135,-46.8563349,30,false
3727946,214605,IRMÃOS BOA LTDA,Irmãos Boa,Jundiaí,"Avenida QUATORZE DE DEZEMBRO, 2333, Vila Mafalda, Jundiaí",10,195,-23.2096274,-46.87686,30,false
3727910,187252,IRMÃOS BOA LTDA,Irmãos Boa,Jundiaí,"Avenida OSMUNDO DOS SANTOS PELLEGRINI, 1000, Recanto Quarto Centenario, Jundiaí",30,595,-23.18639,-46.88417,30,false
3727903,3733,IRMÃOS BOA LTDA,Irmãos Boa,Jundiaí,"Rua REINALDO ORSI, 50, Retiro, Jundiaí",8,155,-23.1800435,-46.9137544,30,false
3727938,195312,IRMÃOS BOA LTDA,Irmãos Boa,Jundiaí,"Avenida DOUTOR OLAVO GUIMARAES, 253, Vila Arens, Jundiaí",18,355,-23.1971918,-46.8745837,30,false
3727994,192187,SUPERMERCADO PARAZZI LTDA,Nenhum,Jundiaí,"Rua FERNAO DIAS PAES LEME, 683, Vila Aparecida, Jundiaí",14,280,-23.178214,-46.8668431,30,false
3727709,516,CHURRASCARIA PASSO FUNDO LTDA - EPP,Nenhum,Jundiaí,"Avenida Das Industrias, S/N, Engordadouro, Jundiaí",10,195,-23.1573721,-46.9343319,30,false
3728037,8637,COOPERATIVA DE CONSUMO COOPERCICA,Coopercica,Jundiaí,"Rua HISASCHI NAGAOKA, 3595, Jardim São Vicente, Jundiaí",43,810,-23.1451635,-46.9157263,30,false
3728370,204597,NOVA RETIRO REST. SOCIEDADE UNIPESSOAL L,Nenhum,Jundiaí,"Avenida ANTONIO SEGRE, 504, Ponte de Campinas, Jundiaí",4,75,-23.1766107,-46.8982122,30,false
3727718,10372,CASA DE CARNES SÃO JUDAS TADEU LTDA EPP,Nenhum,Jundiaí,"Avenida BENTO FIGUEREDO, 275, Vila Marlene, Jundiaí",21,408,-23.18639,-46.88417,30,false
3727739,195790,COVABRA SUPERMERCADOS LTDA,Covabra,Jundiaí,"Avenida DOUTOR ADILSON RODRIGUES, S/N, JD.DAS SAMAMBAIAS, Jundiaí",2,40,-23.18639,-46.88417,30,false
3727925,187257,IRMÃOS BOA LTDA,Irmãos Boa,Jundiaí,"Avenida ITATIBA, 150, Vila Liberdade, Jundiaí",5,100,-23.1763812,-46.8864851,30,false
3727937,195224,IRMÃOS BOA LTDA,Irmãos Boa,Jundiaí,"Rua JORGE ZOLNER, 95, Centro, Jundiaí",11,220,-23.18639,-46.88417,30,false
3728113,214152,FENICE RISTORANTE PIZZERIE LTDA,Nenhum,Jundiaí,"Rua DO RETIRO, 2173, VILA VIOTTO, Jundiaí",8,160,-23.18639,-46.88417,30,false
3728035,1044,COOPERATIVA DE CONSUMO COOPERCICA,Coopercica,Jundiaí,"Rua ROMEU SECKLER MACHADO, 105, Parque Eloy Chaves, Jundiaí",77,1495,-23.18639,-46.88417,30,false
3727902,3731,IRMÃOS BOA LTDA,Irmãos Boa,Jundiaí,"Rua Marilia, 60, Vila Hortolandia, Jundiaí",32,630,-23.169235,-46.909441,30,false
3727945,203948,IRMÃOS BOA LTDA,Irmãos Boa,Jundiaí,"Avenida BENEDITO CASTILHO DE ANDRADE, 1300, Parque Residencial Eloy Chaves, Jundiaí",8,160,-0.06289,-49.64787,30,false
3728438,201725,SUPERMERCADO E RESTAURANTE JVA EIRELI,Monte Serrat,Jundiaí,"Avenida FRANCISCO NOBRE, 100, Medeiros, Jundiaí",11,210,-23.187837,-46.9845899,30,false
3728442,200830,KALIMERA COM. DE HORTIFRUTI LTDA,Monte Serrat,Jundiaí,"Avenida ANTONIO PINCINATO, 21, Recanto Quarto Centenario, Jundiaí",14,275,-23.18639,-46.88417,30,false
3728440,152260,KALIMERA COM.DE HORTIFRUTI LTDA,Monte Serrat,Jundiaí,"Rua DO RETIRO, 2400, Vila das Hortencias, Jundiaí",20,395,-23.1796942,-46.9056674,30,false
3728356,209636,RESTAURANTE JUNDIAI GRILL LTDA,Nenhum,Jundiaí,"Rua Do Retiro, 2235, Vila das Hortencias, Jundiaí",4,75,-23.1793859,-46.9074326,30,false
3728297,203087,ELTON APARECIDO DE SOUZA,Nenhum,Juquiá,"Rua SALUSTINO GREGORIANO LEITE, 142, VILA FLORINDO, Juquiá",6,120,-24.32083,-47.63472,30,false
3728314,203456,MERCADO DONA HELENA LTDA,Nenhum,Louveira,"Rua ANGELO STECK, 41, VILA NOVA, Louveira",5,100,-23.0901561,-46.9522003,30,false
3727811,215106,LGN DISTRIBUIDORA LTDA,Nenhum,Louveira,"Avenida ANTONIO STECK, 129, SAGRADO CORACAO DE JESUS, Louveira",4,80,-23.08639,-46.95056,30,false
3727793,193634,CASA DE CARNES PREMIUM EIRELI,Nenhum,Mairinque,"Avenida VINTE E SETE DE OUTUBRO, 280, Vila Sorocabana, Mairinque",4,80,-23.54583,-47.18333,30,false
3728421,198545,THIANE ALIMENTAÇÃO LTDA,Nenhum,Mairiporã,"Rua FERNANDO FONSECA KVINT, 40, Terra Preta, Mairiporã",9,160,-23.24389,-46.55222,30,false
3728012,12621,ANDERSON PETRI MAIRIPORÃ ME.,Nenhum,Mairiporã,"Avenida VITOR ODORICO BUENO, SN, Terra Preta, Mairiporã",6,120,-23.2631973,-46.5892014,30,false
3728163,13546,MIRIAM PETRI,Nenhum,Mairiporã,"Rua JOAO PUGA BERTINI, 12, Terra Preta, Mairiporã",30,600,-23.24389,-46.55222,30,false
3728305,204577,ACOUGUE CAMPEAO LTDA,Nenhum,Mairiporã,"Rua SAO JUDAS TADEU, S/N, CAPOAVINHA, Mairiporã",7,140,-23.31861,-46.58667,30,false
3728376,203609,5M COM.ATACADISTA E VAREJ.ALIM.LTDA,Pedreira,Mauá,"Avenida PAPA JOAO XXIII, 555, LOTEAMENTO INDL CORAL, Mauá",16,320,-23.66778,-46.46139,30,false
3727854,12895,MERCADINHO TOP LTDA EPP.,Nenhum,Mauá,"Rua PRESIDENTE ARTHUR DA COSTA E SILVA, 453, Parque São Vicente, Mauá",5,100,-22.7321,-43.36924,30,false
3728408,203820,SUPERMERCADO FAMILIA LIMA EIRELI,Nenhum,Mauá,"Avenida DONA BENEDITA FRANCA DA VEIGA, 2464, ST BELA VISTA, Mauá",10,200,-23.6490813,-46.4208808,30,false
3728204,10711,CASA DE CARNES PRAINHA LTDA ME,Nenhum,Miracatu,"Avenida DA SAUDADE, 577, Jardim Miracatu, Miracatu",5,100,-24.28139,-47.45972,30,false
3728020,11226,MARIA EDVANI DOS SANTOS SILVA ME,Nenhum,Miracatu,"Rua Drº Emilio Martins, 141, Centro, Miracatu",19,380,-24.28139,-47.45972,30,false
3727769,1963,AVICOLA E.J.C.LTDA,Nenhum,Mogi das Cruzes,"Rua CORONEL SOUZA FRANCO, 440, Centro, Mogi das Cruzes",8,155,-23.5217284,-46.1859207,30,false
3728091,215379,COMERCIAL ESPERANCA ATACADISTA IMPORTACA,Rede Esperança,Mogi das Cruzes,"Avenida RICIERI JOSE MARCATTO, 510, Vila Suissa, Mogi das Cruzes",45,900,-23.5021636,-46.1623543,30,false
3727702,10961,PAULO YOSHIKIYO YAMAMOTO - ME,Nenhum,Mogi das Cruzes,"Avenida JOÃO XXIII, 3554, Jd, São Pedro, Mogi das Cruzes",15,300,-23.52278,-46.18833,30,false
3728406,177805,IVANILDE GOMES DIAS ME,Nenhum,Mogi das Cruzes,"Rua ROSEIRA, 35, PARQUE RECANTO MONICA, Mogi das Cruzes",21,420,-23.52278,-46.18833,30,false
3728024,210160,PRATICO 5 SUPERMERCADO LTDA,Nenhum,Mongaguá,"Avenida doutor luiz pereira barreto, 436, Vila Atlantica, Mongaguá",17,340,-24.1003816,-46.6458773,30,false
3728025,210154,PRATICO 7 SUPERMERCADO LTDA,Nenhum,Mongaguá,"Avenida sao paulo, 2304, MANGAGUA, Mongaguá",11,220,-24.09306,-46.62083,30,false
3727990,212980,"FRANGOLE FRANGOS ASSADOS, SORVETES E MER",Nenhum,Osasco,"Rua GASPARINO LUNARDI, 331, Jardim das Flores, Osasco",16,302,-23.5293352,-46.7930619,30,false
3727787,204319,GICA BOX LTDA,Nenhum,Osasco,"Rua PARANAENSE, 878, JARDIM CONCEICAO, Osasco",13,260,-23.5820993,-46.8012798,30,false
3728196,184166,CRISTIANE APARECIDA SILVA MATOS,Nenhum,Osasco,"Rua JOAQUIM SEVERINO ALVES, 48, Vila Menk, Osasco",13,255,-23.5325,-46.79167,30,false
3727845,213353,MERCADO REDE DEUS LTDA,Nenhum,Osasco,"Rua PARDINHO, 145, Munhoz Junior, Osasco",6,120,-23.5021898,-46.8040452,30,false
3728127,190049,MJ REFEIÇÕES SERVIÇO DE ALIMENTAÇÃO LTDA,Nenhum,Osasco,"Rua  RODOLFO ZOLLI, 242, Presidente Altino, Osasco",6,120,-23.5325,-46.79167,30,false
3726819,200749,CASSIA J.J. DE SOUZA EMPORIO,Nenhum,Osasco,"Rua VALDIR SOARES LOPES, 37, SAO PEDRO, Osasco",5,110,-23.5435255,-46.8146513,30,false
3727828,13297,MERCADO CIRIACO LTDA ME.,Nenhum,Osasco,"Rua Paulo Soares, 509, Jardim Santo Antonio, Osasco",5,100,-23.5583958,-46.79401,30,false
3728092,202239,ANDREY MICHEL FERNANDES SILVA 4070125086,Nenhum,Osasco,"Avenida JOSE BARBOSA DE SIQUEIRA, 1026, JARDIM PADROEIRA I, Osasco",9,175,-23.5325,-46.79167,30,false
3728214,214900,SUPERMERCADO SUPER TOK LTDA,Nenhum,Osasco,"Avenida JOSE BARBOSA DE SIQUEIRA, 974, JARDIM PADROEIRA I, Osasco",3,60,-23.5325,-46.79167,30,false
3728308,196441,ESTILAC LEAL MERCADINHO LTDA,Nenhum,Osasco,"Rua GENERAL NEWTON ESTILAC LEAL, 1361, Pestana, Osasco",4,80,-23.5325,-46.79167,30,false
3727761,191611,BOVIGG COMERCIO CARNES E ROTISSERIE LTDA,Nenhum,Osasco,"Rua PROFESSOR JOSE AZEVEDO MINHOTO, 378, VILA QUITAUNA (KM18), Osasco",11,220,-23.5294697,-46.7941962,30,false
3727806,204210,VILMA RESTAURANTE LTDA,Divino Fogão,Osasco,"Avenida AUTONOMISTAS, DOS, 1400, Vila Yara, Osasco",4,80,-23.5389781,-46.7653358,30,false
3728319,208402,GALPACK INDUSTRIA E COMERCIO DE DESCARTA,Nenhum,Osasco,"Rua COELHO NETO, 126, Jardim Platina, Osasco",6,120,-23.5325,-46.79167,30,false
3728063,211011,SUPERMERCADO PADARIA E ROTISSERIA PEREIR,Nenhum,Osasco,"Rua PORTO ALEGRE, 540, Rochdale, Osasco",9,180,-23.5119988,-46.779681,30,false
3728047,11448,FERNANDO DE AMORIM RAMOS,Nenhum,Osasco,"Rua CAMPINA GRANDE, 383, Rochdale, Osasco",15,295,-23.5149297,-46.7782849,30,false
3727895,195198,MERCADO VILLAS EIRELI,Nenhum,Osasco,"Rua PROFESSORA ADELAIDE ESCOBAR BUENO, 397, Munhoz Junior, Osasco",27,540,-23.4982773,-46.8038889,30,false
3727876,1408,SUPERMERCADO ECONOMICO LTDA.,Nenhum,Osasco,"Avenida CRUZEIRO DO SUL, 1009, Rochdale, Osasco",15,300,-23.5065319,-46.7772184,30,false
3728315,195004,SELMA DELAZARI MARTINS - EIRELI - ME,Nenhum,Osasco,"Rua JUAN VICENTE, 482, Bandeiras, Osasco",5,100,-23.559865,-46.8166755,30,false
3728402,11365,SUPERMERCADO LISBOA DE OSASCO LTDA ME,Nenhum,Osasco,"Rua MARIO QUINTANA, 260, Recanto das Rosas, Osasco",17,340,-23.5807046,-46.8147375,30,false
3728424,10386,MERCADINHO PIRATININGA LTDA,Piratininga,Paraibuna,"Avenida SÃO JOSE DOS CAMPOS, 262, Centro, Paraibuna",26,520,-23.3831094,-45.6650429,30,false
3728176,10386,MERCADINHO PIRATININGA LTDA,Piratininga,Paraibuna,"Avenida SÃO JOSE DOS CAMPOS, 262, Centro, Paraibuna",8,160,-23.3831094,-45.6650429,30,false
3728270,162283,J. M. LISBOA MINIMERCADO - ME,Nenhum,Pariquera-Açu,"Rua vereador Aecio Gauglitz, 261, Vila Palmira, Pariquera-Açu",13,260,-24.715,-47.88111,30,false
